Subject Name,Class Name,Methods #,Methods # cov,Methods # not-cov,Methods # req,Methods # pseudo,Methods % covered,Methods % pseudo,Statements #,Statements # cov,Statements # not-cov,Statements # req,Statements # pseudo,Statements # PTSIRM,Statements % covered,Statements % pseudo,# PIT mutants,# PIT mutants killed,% PIT mutants killed
lib-logger,com.github.naoghuman.lib.logger.core.LoggerFacade,18,0,18,0,0,0.0,0.0,19,0,19,0,0,0,0.0,0.0,17,0,0.0
lib-logger,com.github.naoghuman.lib.logger.core.Logger,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0
lib-logger,com.github.naoghuman.lib.logger.internal.DefaultLoggerValidator,1,1,0,1,0,100.0,0.0,1,1,0,1,0,0,100.0,0.0,0,0,0
lib-logger,com.github.naoghuman.lib.logger.internal.DefaultLogger,17,4,13,1,3,23.53,17.65,75,17,58,0,17,4,22.67,22.67,26,3,11.54
commons-codec,org.apache.commons.codec.StringEncoder,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0
commons-codec,org.apache.commons.codec.Encoder,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0
commons-codec,org.apache.commons.codec.StringEncoderComparator,1,1,0,1,0,100.0,0.0,7,6,1,6,0,0,85.71,0.0,1,1,100.0
commons-codec,org.apache.commons.codec.BinaryEncoder,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0
commons-codec,org.apache.commons.codec.CharEncoding,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0
commons-codec,org.apache.commons.codec.Resources,1,1,0,1,0,100.0,0.0,4,4,0,4,0,0,100.0,0.0,2,1,50.0
commons-codec,org.apache.commons.codec.StringDecoder,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0
commons-codec,org.apache.commons.codec.EncoderException,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0
commons-codec,org.apache.commons.codec.Decoder,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0
commons-codec,org.apache.commons.codec.Charsets,2,0,2,0,0,0.0,0.0,2,0,2,0,0,0,0.0,0.0,4,0,0.0
commons-codec,org.apache.commons.codec.DecoderException,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0
commons-codec,org.apache.commons.codec.BinaryDecoder,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0
commons-codec,org.apache.commons.codec.CodecPolicy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0
